seed	k	n	survive_bf	edges_bf	survive_pad	edges_pad	
13	20	20	11	17	11	19	
13	20	30	11	17	11	20	
13	20	40	11	18	11	21	
13	20	50	11	19	11	23	
13	20	60	11	19	11	25	
13	20	70	11	19	11	24	
13	20	80	11	19	11	26	
13	20	90	12	20	12	27	
13	20	100	12	20	12	28	
13	40	0	9	9	9	9	
13	40	10	14	21	13	20	
13	40	20	15	24	14	22	
13	40	30	16	27	15	27	
13	40	40	16	28	16	29	
13	40	50	16	28	16	30	
13	40	60	17	30	16	33	
13	40	70	17	31	16	36	
13	40	80	18	32	16	38	
13	40	90	20	35	17	38	
13	40	100	20	35	17	40	
13	60	0	15	15	15	15	
13	60	10	18	25	18	25	
13	60	20	21	29	20	28	
13	60	30	25	35	22	34	
13	60	40	26	40	23	37	
13	60	50	29	45	26	42	
13	60	60	30	50	28	48	
13	60	70	31	51	28	49	
13	60	80	31	52	28	54	
13	60	90	32	54	29	56	
13	60	100	32	54	29	57	
13	80	0	13	13	13	13	
13	80	10	24	36	23	34	
13	80	20	28	44	25	41	
13	80	30	28	46	25	44	
13	80	40	32	51	28	52	
13	80	50	33	54	29	58	
13	80	60	35	59	30	62	
13	80	70	35	60	32	66	
13	80	80	35	60	32	68	
13	80	90	35	60	32	69	
13	80	100	35	60	32	69	
13	100	0	13	13	13	13	
13	100	10	27	38	25	34	
13	100	20	29	43	26	38	
13	100	30	33	52	31	50	
13	100	40	32	53	31	54	
13	100	50	35	58	33	57	
13	100	60	40	65	36	63	
13	100	70	41	68	37	68	
13	100	80	43	73	39	70	
13	100	90	43	76	39	75	
13	100	100	43	76	40	79	
14	20	0	8	8	8	8	
14	20	10	10	14	10	16	
14	20	20	11	17	11	19	
14	20	30	11	17	11	21	
14	20	40	11	18	11	23	
14	20	50	11	18	11	24	
14	20	60	11	18	11	24	
14	20	70	11	18	11	22	
14	20	80	11	18	11	24	
14	20	90	11	18	11	25	
14	20	100	11	18	11	26	
14	40	0	9	9	9	9	
14	40	10	15	21	12	17	
14	40	20	15	24	13	21	
14	40	30	17	30	15	29	
14	40	40	18	31	16	31	
14	40	50	20	35	18	37	
14	40	60	20	35	18	38	
14	40	70	21	36	19	39	
14	40	80	22	37	20	40	
14	40	90	22	37	20	41	
14	40	100	22	37	21	43	
14	60	0	12	12	12	12	
14	60	10	23	32	22	31	
14	60	20	24	36	22	36	
14	60	30	28	44	25	45	
14	60	40	30	47	28	50	
14	60	50	30	47	28	52	
14	60	60	31	49	29	56	
14	60	70	31	49	29	58	
14	60	80	31	49	29	59	
14	60	90	31	50	29	59	
14	60	100	31	50	29	59	
14	80	0	11	11	11	11	
14	80	10	17	23	15	21	
14	80	20	26	41	24	37	
14	80	30	29	49	24	44	
14	80	40	31	54	25	46	
14	80	50	34	59	29	55	
14	80	60	35	60	29	56	
14	80	70	35	61	29	58	
14	80	80	35	61	30	61	
14	80	90	37	63	30	63	
14	80	100	37	64	31	64	
14	100	0	18	18	18	18	
14	100	10	28	36	25	32	
14	100	20	39	56	35	49	
14	100	30	43	63	37	55	
14	100	40	44	66	37	58	
14	100	50	45	67	40	61	
14	100	60	45	69	40	64	
14	100	70	47	74	43	72	
14	100	80	48	76	44	76	
14	100	90	48	77	44	80	
14	100	100	48	77	44	82	
15	20	0	9	9	9	9	
15	20	10	11	17	9	18	
15	20	20	11	18	9	22	
15	20	30	11	19	9	24	
15	20	40	11	20	10	26	
15	20	50	11	20	11	29	
15	20	60	11	20	11	29	
15	20	70	11	20	11	29	
15	20	80	11	20	11	30	
15	20	90	11	20	11	30	
15	20	100	11	20	11	30	
15	40	0	12	12	12	12	
15	40	10	20	28	19	30	
