seed	BD	V	N	t_sec	n_invisible	p_invisible	
6	6	40	40	1.2481	14	0.35	
6	6	40	50	1.4217	12	0.3	
6	6	40	60	1.2803	13	0.325	
6	6	40	70	1.1799	10	0.25	
6	6	40	80	1.1233	7	0.175	
6	6	40	90	1.2023	9	0.225	
6	6	40	100	1.2131	8	0.2	
6	6	50	0	1.9209	50	1	
6	6	50	10	1.5885	31	0.62	
6	6	50	20	1.5601	22	0.44	
6	6	50	30	1.3739	19	0.38	
6	6	50	40	1.4353	18	0.36	
6	6	50	50	1.3389	14	0.28	
6	6	50	60	1.3583	11	0.22	
6	6	50	70	1.4977	7	0.14	
6	6	50	80	1.7303	19	0.38	
6	6	50	90	1.3281	7	0.14	
6	6	50	100	1.3125	9	0.18	
6	6	60	0	2.2477	60	1	
6	6	60	10	2.0125	37	0.616666666666667	
6	6	60	20	1.8137	30	0.5	
6	6	60	30	2.0877	31	0.516666666666667	
6	6	60	40	1.95	21	0.35	
6	6	60	50	1.8687	24	0.4	
6	6	60	60	1.951	27	0.45	
6	6	60	70	1.64	18	0.3	
6	6	60	80	1.6031	16	0.266666666666667	
6	6	60	90	1.7004	17	0.283333333333333	
6	6	60	100	1.7638	15	0.25	
6	6	70	0	2.7585	70	1	
6	6	70	10	2.4971	44	0.628571428571429	
6	6	70	20	2.1647	33	0.471428571428571	
6	6	70	30	1.8408	16	0.228571428571429	
6	6	70	40	2.0593	25	0.357142857142857	
6	6	70	50	1.8723	15	0.214285714285714	
6	6	70	60	2.0613	23	0.328571428571429	
6	6	70	70	1.7923	12	0.171428571428571	
6	6	70	80	1.9813	12	0.171428571428571	
6	6	70	90	2.2153	15	0.214285714285714	
6	6	70	100	1.6861	8	0.114285714285714	
6	6	80	0	3.6069	80	1	
6	6	80	10	3.1065	57	0.7125	
6	6	80	20	2.3393	36	0.45	
6	6	80	30	2.3401	31	0.3875	
6	6	80	40	2.2321	27	0.3375	
6	6	80	50	2.1539	26	0.325	
6	6	80	60	2.1199	23	0.2875	
6	6	80	70	2.2153	21	0.2625	
6	6	80	80	2.3559	20	0.25	
6	6	80	90	2.0477	21	0.2625	
6	6	80	100	2.1881	20	0.25	
6	6	90	0	3.9655	90	1	
6	6	90	10	3.6371	58	0.644444444444444	
6	6	90	20	3.4897	52	0.577777777777778	
6	6	90	30	3.0899	43	0.477777777777778	
6	6	90	40	3.0725	38	0.422222222222222	
6	6	90	50	3.2617	31	0.344444444444444	
6	6	90	60	3.0315	28	0.311111111111111	
6	6	90	70	2.8913	31	0.344444444444444	
6	6	90	80	3.2451	36	0.4	
6	6	90	90	3.3279	28	0.311111111111111	
6	6	90	100	2.8033	27	0.3	
6	6	100	0	4.2385	100	1	
6	6	100	10	4.4809	81	0.81	
6	6	100	20	4.0991	60	0.6	
6	6	100	30	3.5541	52	0.52	
6	6	100	40	3.0898	52	0.52	
6	6	100	50	3.0755	47	0.47	
6	6	100	60	2.9439	48	0.48	
6	6	100	70	2.842	38	0.38	
6	6	100	80	2.9477	40	0.4	
6	6	100	90	2.9182	40	0.4	
6	6	100	100	3.1047	40	0.4	
7	6	10	0	0.392	10	1	
7	6	10	10	0.3744	3	0.3	
7	6	10	20	0.3276	2	0.2	
7	6	10	30	0.391	1	0.1	
