seed	BD	V	N	t_sec	n_invisible	p_invisible	
5	6	90	100	2.3577	20	0.222222222222222	
5	6	100	0	3.8563	100	1	
5	6	100	10	3.836	79	0.79	
5	6	100	20	3.1651	56	0.56	
5	6	100	30	3.0109	46	0.46	
5	6	100	40	2.9633	42	0.42	
5	6	100	50	3.1223	48	0.48	
5	6	100	60	2.7819	34	0.34	
5	6	100	70	2.8365	35	0.35	
5	6	100	80	2.8609	34	0.34	
5	6	100	90	3.1936	35	0.35	
5	6	100	100	2.7739	35	0.35	
6	6	10	0	0.3532	10	1	
6	6	10	10	0.3442	4	0.4	
6	6	10	20	0.3286	3	0.3	
6	6	10	30	0.39	1	0.1	
6	6	10	40	0.313	0	0	
6	6	10	50	0.3744	0	0	
6	6	10	60	0.3432	0	0	
6	6	10	70	0.3276	0	0	
6	6	10	80	0.3744	0	0	
6	6	10	90	0.4142	0	0	
6	6	10	100	0.3786	0	0	
6	6	20	0	0.7902	20	1	
6	6	20	10	0.702	7	0.35	
6	6	20	20	0.78	11	0.55	
6	6	20	30	0.703	5	0.25	
6	6	20	40	0.6406	4	0.2	
6	6	20	50	0.5938	3	0.15	
6	6	20	60	0.6562	3	0.15	
6	6	20	70	0.665	4	0.2	
6	6	20	80	0.5772	2	0.1	
6	6	20	90	0.6406	2	0.1	
6	6	20	100	0.7176	2	0.1	
6	6	30	0	1.171	30	1	
6	6	30	10	1.0933	21	0.7	
6	6	30	20	0.8112	6	0.2	
6	6	30	30	0.936	7	0.233333333333333	
6	6	30	40	0.8736	7	0.233333333333333	
6	6	30	50	0.9672	5	0.166666666666667	
6	6	30	60	0.8424	6	0.2	
6	6	30	70	0.8114	5	0.166666666666667	
6	6	30	80	0.8122	5	0.166666666666667	
6	6	30	90	0.8112	5	0.166666666666667	
6	6	30	100	0.7956	4	0.133333333333333	
6	6	40	0	1.3735	40	1	
6	6	40	10	1.248	22	0.55	
6	6	40	20	1.2022	15	0.375	
6	6	40	30	1.2012	16	0.4	
6	6	40	40	1.1685	14	0.35	
6	6	40	50	1.2021	12	0.3	
6	6	40	60	1.2324	13	0.325	
6	6	40	70	1.1388	10	0.25	
6	6	40	80	1.0608	7	0.175	
6	6	40	90	1.1859	9	0.225	
6	6	40	100	1.17	8	0.2	
6	6	50	0	1.8723	50	1	
6	6	50	10	1.6069	31	0.62	
6	6	50	20	1.5767	22	0.44	
6	6	50	30	1.5281	19	0.38	
6	6	50	40	1.4821	18	0.36	
6	6	50	50	1.4197	14	0.28	
6	6	50	60	1.3419	11	0.22	
6	6	50	70	1.2812	7	0.14	
6	6	50	80	1.4987	19	0.38	
6	6	50	90	1.2812	7	0.14	
6	6	50	100	1.3193	9	0.18	
6	6	60	0	2.2037	60	1	
6	6	60	10	1.9931	37	0.616666666666667	
6	6	60	20	1.9365	30	0.5	
6	6	60	30	2.0155	31	0.516666666666667	
6	6	60	40	1.9161	21	0.35	
6	6	60	50	2.2283	24	0.4	
6	6	60	60	2.2009	27	0.45	
6	6	60	70	2.1373	18	0.3	
6	6	60	80	1.9033	16	0.266666666666667	
6	6	60	90	1.7807	17	0.283333333333333	
6	6	60	100	2.0593	15	0.25	
6	6	70	0	3.2431	70	1	
6	6	70	10	2.9339	44	0.628571428571429	
6	6	70	20	2.6845	33	0.471428571428571	
6	6	70	30	2.3119	16	0.228571428571429	
6	6	70	40	2.4601	25	0.357142857142857	
6	6	70	50	2.2465	15	0.214285714285714	
6	6	70	60	2.6719	23	0.328571428571429	
6	6	70	70	2.4649	12	0.171428571428571	
6	6	70	80	2.4913	12	0.171428571428571	
6	6	70	90	2.3285	15	0.214285714285714	
6	6	70	100	2.1315	8	0.114285714285714	
6	6	80	0	3.7383	80	1	
6	6	80	10	3.7909	57	0.7125	
6	6	80	20	3.0413	36	0.45	
6	6	80	30	2.6023	31	0.3875	
6	6	80	40	2.3091	27	0.3375	
6	6	80	50	2.3099	26	0.325	
6	6	80	60	2.0897	23	0.2875	
6	6	80	70	2.2309	21	0.2625	
6	6	80	80	2.3091	20	0.25	
6	6	80	90	2.2153	21	0.2625	
6	6	80	100	2.1883	20	0.25	
6	6	90	0	3.4811	90	1	
6	6	90	10	3.0287	58	0.644444444444444	
6	6	90	20	3.0129	52	0.577777777777778	
6	6	90	30	2.9125	43	0.477777777777778	
6	6	90	40	2.6989	38	0.422222222222222	
6	6	90	50	2.6221	31	0.344444444444444	
6	6	90	60	2.5137	28	0.311111111111111	
6	6	90	70	2.5391	31	0.344444444444444	
6	6	90	80	2.7221	36	0.4	
6	6	90	90	2.5803	28	0.311111111111111	
6	6	90	100	2.4787	27	0.3	
6	6	100	0	3.7197	100	1	
6	6	100	10	3.7149	81	0.81	
6	6	100	20	3.3045	60	0.6	
6	6	100	30	3.2295	52	0.52	
6	6	100	40	3.1543	52	0.52	
6	6	100	50	3.3067	47	0.47	
6	6	100	60	3.1319	48	0.48	
6	6	100	70	2.9505	38	0.38	
6	6	100	80	3.0257	40	0.4	
6	6	100	90	3.0189	40	0.4	
6	6	100	100	3.1435	40	0.4	
7	6	10	0	0.392	10	1	
7	6	10	10	0.354	3	0.3	
7	6	10	20	0.4348	2	0.2	
7	6	10	30	0.3588	1	0.1	
7	6	10	40	0.312	0	0	
